Cycle: 15  AE.A244  1.562_X	Cycle: 15  AE.A244  1.562_Y	Cycle: 16  AE.A244  3.125_X	Cycle: 16  AE.A244  3.125_Y	Cycle: 17  AE.A244  6.25 _X	Cycle: 17  AE.A244  6.25 _Y	Cycle: 18  AE.A244  12.5 _X	Cycle: 18  AE.A244  12.5 _Y	Cycle: 19  AE.A244  25 µg_X	Cycle: 19  AE.A244  25 µg_Y	Cycle: 20  AE.A244  50 µg_X	Cycle: 20  AE.A244  50 µg_Y	Cycle: 21  AE.A244  100 µ_X	Cycle: 21  AE.A244  100 µ_Y	Cycle: 22  AE.A244  200 µ_X	Cycle: 22  AE.A244  200 µ_Y
-55.96	-0.0836487	-55.86	-0.164093	-55.86	-0.112366	-55.86	-0.0934142	-55.96	-0.0787964	-55.96	-0.0886841	-55.86	-0.180176	-55.86	-0.0925903
-55.86	-0.0941467	-55.76	-0.152374	-55.76	-0.105347	-55.76	-0.0730896	-55.86	-0.0791626	-55.86	-0.0984497	-55.76	-0.17041	-55.76	-0.0855713
-55.76	-0.0918278	-55.66	-0.148468	-55.66	-0.108459	-55.66	-0.07547	-55.76	-0.0623779	-55.76	-0.0890507	-55.66	-0.173157	-55.66	-0.0906372
-55.66	-0.0867615	-55.56	-0.154755	-55.56	-0.114747	-55.56	-0.0871892	-55.66	-0.0752563	-55.66	-0.0945435	-55.56	-0.170044	-55.56	-0.0754399
-55.56	-0.0937805	-55.46	-0.157074	-55.46	-0.124878	-55.46	-0.0875549	-55.56	-0.081543	-55.56	-0.0914307	-55.46	-0.170044	-55.46	-0.0679932
-55.46	-0.0840149	-55.36	-0.152375	-55.36	-0.129944	-55.36	-0.0922554	-55.46	-0.0967407	-55.46	-0.0867302	-55.36	-0.172363	-55.36	-0.066407
-55.36	-0.0840149	-55.26	-0.137177	-55.26	-0.139343	-55.26	-0.0922546	-55.36	-0.10144	-55.36	-0.0691528	-55.26	-0.152466	-55.26	-0.0559082
-55.26	-0.0762017	-55.16	-0.137543	-55.16	-0.142456	-55.16	-0.0820923	-55.26	-0.10144	-55.26	-0.0445549	-55.16	-0.147766	-55.16	-0.0613403
-55.16	-0.0691833	-55.06	-0.140656	-55.06	-0.149476	-55.06	-0.0895088	-55.16	-0.10144	-55.16	-0.0300903	-55.06	-0.143067	-55.06	-0.054322
-55.06	-0.0746155	-54.96	-0.137543	-54.96	-0.124878	-54.96	-0.10202	-55.06	-0.103394	-55.06	-0.0253906	-54.96	-0.111816	-54.96	-0.0543213
-54.96	-0.0722961	-54.86	-0.118014	-54.86	-0.110046	-54.86	-0.13016	-54.96	-0.0791626	-54.96	-7.90477e-4	-54.86	-0.0919189	-54.86	-0.0512115
-54.86	-0.0644836	-54.76	-0.111359	-54.76	-0.121765	-54.76	-0.137177	-54.86	-0.0428467	-54.86	0.0187378	-54.76	-0.0922852	-54.76	-0.0418091
-54.76	-0.054715	-54.66	-0.101227	-54.66	-0.117065	-54.66	-0.130524	-54.76	-0.0299683	-54.76	0.0206939	-54.66	-0.0704346	-54.66	-0.0269775
-54.66	-0.0351868	-54.56	-0.121126	-54.56	-0.128786	-54.56	-0.149691	-54.66	-5.7373e-3	-54.66	0.0285034	-54.56	-0.0688494	-54.56	-0.0199603
-54.56	-0.023468	-54.46	-0.13559	-54.46	-0.124084	-54.46	-0.169586	-54.56	5.98145e-3	-54.56	0.0324097	-54.46	-0.0782471	-54.46	-0.0203247
-54.46	-0.0379333	-54.36	-0.140656	-54.36	-0.112366	-54.36	-0.179353	-54.46	5.98145e-3	-54.46	0.0159919	-54.36	-0.0708008	-54.36	-0.0203254
-54.36	-0.054718	-54.26	-0.137177	-54.26	-0.0991211	-54.26	-0.163361	-54.36	0.0153809	-54.36	0.0253906	-54.26	-0.0509033	-54.26	-5.12695e-3
-54.26	-0.0613686	-54.16	-0.123077	-54.16	-0.0752563	-54.16	-0.114899	-54.26	0.0356445	-54.26	0.0324119	-54.16	-0.0411377	-54.16	-7.93457e-4
-54.16	-0.0566711	-54.06	-0.116059	-54.06	-0.0635386	-54.06	-0.0641184	-54.16	0.0548096	-54.16	0.0374756	-54.06	-0.0348521	-54.06	-3.54105e-3
-54.06	-0.0500183	-53.96	-0.111359	-53.96	-0.053772	-53.96	-0.0231018	-54.06	0.0661621	-54.06	0.0371094	-53.96	-0.0391846	-53.96	-0.0101929
-53.96	-0.0500183	-53.86	-0.101228	-53.86	-0.0221558	-53.86	0.0190727	-53.96	0.0762939	-53.96	0.0292976	-53.86	-0.0442505	-53.86	-0.0152596
